,Title,Summary
67,"sinh viên bách khoa nhận học bổng ""chắp cánh ước mơ""","sáng 15/12 tại hội trường b4 trường đh bách khoa, 37 sinh viên đang học tập tại 06 trường đại học trên địa bàn tp. hcm, gồm: trường đại học bách khoa - đhqg-hcm; trường đại học tài nguyên và môi trường tp. hcm; trường đại học kiến trúc tp.hcm; trường đại học khoa học tự nhiên tp.hcm; trường đại học nông lâm tp.hcm và trường đại học sư phạm kỹ thuật tp. hcm đã được nhận học bổng chắp cánh ước mơ từ công ty tnhh đầu tư xây dựng và công nghệ môi trường dương nhật."
68,sinh viên bách khoa đề xuất giải pháp xanh hóa ngành dệt may,"chiều 10/12, tại hội trường b11, đã đã diễn ra vòng chung kết cuộc thi “xanh hoá ngành dệt may” với phần tranh tài vô cùng hấp dẫn của 15 đội là sinh viên bộ môn kỹ thuật dệt may (khoa cơ khí -trường đh bách khoa-đhqg-hcm)."
69,7 trường đại học kỹ thuật ký kết hợp tác trong lĩnh vực quốc tế hóa giáo dục,"sáng ngày 16/12/2022 tại đà lạt, nhóm g7 gồm 7 trường đại học kỹ thuật hàng đầu việt nam ký kết hợp tác trong lĩnh vực quốc tế hóa giáo dục với nội dung kiểm định quốc tế và bảo đảm chất lượng đáp ứng yêu cầu đào tạo tạo nhân lực chất lượng quốc tế. lễ ký kết có sự tham dự của pgs.ts nguyễn thu thủy - vụ trưởng vụ giáo dục đại học – bộ giáo dục và đào tạo."
70,"trường đh bách khoa họp mặt viên chức, người lao động đợt 2 năm 2022","sáng ngày 9/12, trường đh bách khoa-đhqg-hcm đã tổ chức buổi họp mặt thân mật và trao quyết định về việc nghỉ việc hưởng chế độ hưu trí đối với các viên chức, người lao động của trường đợt 2 năm 2022."
71,trường đh bách khoa ký kết hợp tác với trường đh waikato tại diễn đàn hợp tác giáo dục việt nam – new zealand,"sáng 5/12/2022 tại thành phố hamilton, trong chuyến thăm chính thức new zealand, chủ tịch quốc hội vương đình huệ và đoàn đại biểu cấp cao quốc hội việt nam đã tham dự diễn đàn hợp tác giáo dục việt nam – new zealand. pgs.ts vũ hải quân - gđ đhqg-hcm là thành viên chính thức của đoàn trong chuyến công tác này."
72,học bổng honeywell uop dành cho sinh viên khoa kỹ thuật hóa học,"sáng 5/12, đại diện tập đoàn honeywell uop đã đến thăm và trao tặng 4 suất học bổng cho các sinh viên ngành kỹ thuật chế biến dầu khí thuộc khoa kỹ thuật hóa học trường đh bách khoa. mỗi suất học bổng trị giá 500usd."
73,trường đh bách khoa ký kết hợp tác với các trường đh australia tại diễn đàn hợp tác giáo dục việt nam - australia,"sáng 2/12, trong chuyến thăm chính thức australia, chủ tịch quốc hội vương đình huệ và đoàn đại biểu cấp cao quốc hội việt nam đã tham dự diễn đàn hợp tác giáo dục việt nam-australia. pgs.ts vũ hải quân - gđ đhqg-hcm là thành viên chính thức của đoàn trong chuyến công tác này."
74,7 đội sinh viên bách khoa tranh tài tại bosch future mobility challenge,"sáng 2/12, bosch việt nam tổ chức buổi gặp gỡ giữa 11 đội thi xuất sắc bước vào vòng trong của cuộc thi ""bosch future mobility challenge"". tại đây, các bạn sinh viên đã nhận mẫu xe mô hình (tỉ lệ 1/10 so với xe thật) từ bosch, bắt đầu cho hành trình nghiên cứu nhằm đề xuất và sáng tạo các giải pháp cho xe hơi."
75,"chúc mừng 07 nhà giáo trường đh bách khoa được công nhận đạt tiêu chuẩn chức danh giáo sư, phó giáo sư năm 2022","mới đây, hội đồng giáo sư nhà nước đã ban hành quyết định công nhận đạt tiêu chuẩn chức danh cho 34 giáo sư và 349 phó giáo sư năm 2022. trong đó, trường đh bách khoa - đhqg-hcm có 01 tân giáo sư và 06 tân phó giáo sư đạt tiêu chuẩn, gồm:"
76,07 sinh viên trường đh bách khoa nhận học bổng pony chung,
